120 7140
1 96 18
1 18 106
1 106 104
1 104 94
1 94 39
1 39 24
1 24 59
1 59 64
1 64 52
1 52 93
1 93 36
1 36 102
1 102 3
1 3 74
1 74 108
1 108 30
1 30 67
1 67 65
1 65 27
1 27 66
1 66 19
1 19 31
1 31 100
1 100 83
1 83 41
1 41 20
1 20 97
1 97 105
1 105 68
1 68 101
1 101 98
1 98 110
1 110 84
1 84 87
1 87 47
1 47 55
1 55 7
1 7 78
1 78 42
1 42 89
1 89 90
1 90 109
1 109 117
1 117 118
1 118 72
1 72 45
1 45 49
1 49 26
1 26 53
1 53 5
1 5 9
1 9 71
1 71 63
1 63 69
1 69 119
1 119 22
1 22 115
1 115 70
1 70 120
1 120 103
1 103 113
1 113 35
1 35 12
1 12 46
1 46 14
1 14 58
1 58 11
1 11 86
1 86 112
1 112 2
1 2 111
1 111 48
1 48 79
1 79 91
1 91 32
1 32 33
1 33 76
1 76 54
1 54 60
1 60 34
1 34 38
1 38 10
1 10 73
1 73 80
1 80 95
1 95 88
1 88 77
1 77 4
1 4 75
1 75 23
1 23 8
1 8 107
1 107 81
1 81 28
1 28 82
1 82 15
1 15 51
1 51 43
1 43 37
1 37 29
1 29 44
1 44 62
1 62 17
1 17 50
1 50 57
1 57 114
1 114 13
1 13 1
1 1 85
1 85 116
1 116 56
1 56 21
1 21 61
1 61 40
1 40 92
1 92 99
1 99 6
1 6 25
1 25 16
1 16 96
1 1 2
1 1 3
2 1 4
1 1 5
1 1 6
2 1 7
2 1 8
1 1 9
1 1 10
2 1 11
2 1 12
2 1 14
2 1 15
1 1 16
1 1 17
1 1 18
1 1 19
2 1 20
1 1 21
2 1 22
1 1 23
1 1 24
1 1 25
2 1 26
2 1 27
1 1 28
2 1 29
2 1 30
1 1 31
2 1 32
2 1 33
1 1 34
1 1 35
1 1 36
1 1 37
1 1 38
2 1 39
1 1 40
2 1 41
1 1 42
2 1 43
1 1 44
2 1 45
2 1 46
1 1 47
2 1 48
1 1 49
1 1 50
1 1 51
2 1 52
2 1 53
1 1 54
1 1 55
2 1 56
1 1 57
1 1 58
2 1 59
2 1 60
2 1 61
1 1 62
2 1 63
2 1 64
1 1 65
2 1 66
1 1 67
2 1 68
1 1 69
1 1 70
1 1 71
2 1 72
1 1 73
2 1 74
2 1 75
1 1 76
2 1 77
1 1 78
1 1 79
1 1 80
2 1 81
1 1 82
2 1 83
1 1 84
2 1 86
2 1 87
1 1 88
1 1 89
1 1 90
1 1 91
1 1 92
2 1 93
2 1 94
1 1 95
2 1 96
2 1 97
1 1 98
2 1 99
2 1 100
1 1 101
1 1 102
1 1 103
1 1 104
2 1 105
2 1 106
1 1 107
2 1 108
2 1 109
1 1 110
2 1 111
2 1 112
1 1 113
1 1 114
1 1 115
2 1 116
1 1 117
1 1 118
2 1 119
1 1 120
2 2 3
2 2 4
1 2 5
2 2 6
2 2 7
2 2 8
1 2 9
1 2 10
2 2 11
1 2 12
1 2 13
1 2 14
2 2 15
1 2 16
2 2 17
1 2 18
1 2 19
1 2 20
1 2 21
1 2 22
2 2 23
1 2 24
1 2 25
2 2 26
1 2 27
1 2 28
2 2 29
2 2 30
1 2 31
2 2 32
1 2 33
1 2 34
2 2 35
1 2 36
1 2 37
2 2 38
1 2 39
1 2 40
2 2 41
2 2 42
1 2 43
1 2 44
1 2 45
1 2 46
1 2 47
1 2 48
2 2 49
2 2 50
1 2 51
1 2 52
2 2 53
1 2 54
1 2 55
2 2 56
2 2 57
1 2 58
2 2 59
1 2 60
1 2 61
1 2 62
1 2 63
2 2 64
2 2 65
1 2 66
2 2 67
2 2 68
2 2 69
2 2 70
2 2 71
1 2 72
2 2 73
2 2 74
2 2 75
2 2 76
2 2 77
2 2 78
1 2 79
2 2 80
2 2 81
2 2 82
1 2 83
1 2 84
2 2 85
2 2 86
1 2 87
1 2 88
1 2 89
1 2 90
1 2 91
1 2 92
1 2 93
1 2 94
1 2 95
2 2 96
2 2 97
1 2 98
2 2 99
2 2 100
2 2 101
1 2 102
1 2 103
2 2 104
1 2 105
2 2 106
1 2 107
1 2 108
2 2 109
2 2 110
1 2 113
